type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183649.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6834,1,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6883,0,#G90YLCQ8,Dark Dinasty,16000110,Bandit,6,6,Mega Knight,6,6,Royal Ghost,5,6,Electro Spirit,13,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181356.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6801,1,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80G2QYU02,脱獄 I the beast,6842,0,#LRPPR88J,prison break,16000176,Graveyard,6,6,Valkyrie,12,12,Archer Queen,4,4,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180950.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6834,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20JJ8YU09,Napo,6793,1,#Y89VR8JL,Juvenile,16000040,Spear Goblins,14,14,Mortar,14,14,Miner,6,6,Guards,9,9,Cannon Cart,9,9,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164539.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6805,3,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QGY9YJC,Seb,6803,1,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164158.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6777,1,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJU2UVQVR,ろび,6762,0,#Y2882QQV,blackJapan,16000139,Valkyrie,12,12,Baby Dragon,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Graveyard,6,6,Tombstone,12,12,Poison,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163740.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6806,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VU0JGVLP,Alex,6809,1,#YU0QCLVL,NOVA ÉLITE PE,16000040,Hog Rider,12,12,Cannon,14,14,Fire Spirit,14,14,The Log,6,6,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163413.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6772,2,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6823,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162045.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6741,1,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG0Y0UCC,FDP⚡Forme,6755,0,#LY2LGR29,QLASH Reality,16000007,Giant,12,12,Mega Minion,12,12,Prince,9,9,Dark Prince,9,9,Golden Knight,4,4,Fireball,12,12,Zap,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161504.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6772,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8VRGL,ベルモット,6753,1,#L89R9V9U,Hexer,16000120,Bandit,6,6,Barbarian Barrel,9,9,Cannon Cart,9,9,Electro Wizard,6,6,Heal Spirit,12,12,Golden Knight,4,4,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6800,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RJQC8GV9,TMB I Mereegøg✨,6814,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160409.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6831,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9JV20C2,ＭＥＧＡ❤️ＳＯＨＥＩＬ,6815,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Mega Knight,6,6,Inferno Dragon,6,6,Bats,14,14,Bandit,6,6,Miner,6,6,Goblin Gang,14,14,Skeleton Barrel,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6805,2,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22JU9UJP8,Eu Zen,6767,1,,,,Mega Knight,6,6,Goblin Barrel,9,9,Arrows,13,14,Prince,9,9,Princess,5,6,Skeleton Army,9,9,Bats,14,14,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T095735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6776,3,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6767,0,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T095240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYLLYCGC8,YD,6746,1,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6749,0,#QU99PV29,love letter❤,16000109,Archers,14,14,Electro Spirit,14,14,Tesla,14,14,Rocket,12,12,Skeletons,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
