type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T163249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6936,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PG2Q82L,ND I WollkerYT,6835,2,#Q82P2JCJ,Community,16000169,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,Barbarians,14,14,Balloon,9,9,Miner,6,6,Inferno Dragon,6,6,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162705.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6970,0,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6922,1,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161838.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6939,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6955,0,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161427.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6970,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JCLGUCP,Lil⚡Koda⚡,6949,3,#LQ898LYC,TW: @KodaClash,16000002,Mega Knight,6,6,Bats,14,14,Musketeer,12,12,Bandit,6,6,Wall Breakers,9,9,Barbarian Barrel,9,9,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161036.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6941,2,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P098CGQQ,Aldair Vargas,6935,1,#YU9LLU00,Giant Goblin DP,16000142,Prince,9,9,Fireball,12,12,Goblin Giant,9,9,Bats,14,14,Spear Goblins,14,14,Dark Prince,9,9,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160557.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6973,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCQ2GRR,LDN✨Paulo™✌️,6949,2,#PCQPGP9G,B49☆CŘ,16000058,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160059.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6936,3,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998RUJRLR,☠⚡⚔ivan_rial⚔⚡☠,7021,1,#LR0CU9PP,Tw@ivanrial44,16000103,Zap,14,14,Magic Archer,6,6,Royal Hogs,12,12,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bandit,6,6,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155033.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6909,3,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6884,1,,,,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154551.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6936,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6960,2,#LLQYYRCY,InTheStorm,16000020,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154159.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6898,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y90CL0PCQ,ふぃりったん,7003,0,#Y89VR8JL,Juvenile,16000040,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153655.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6928,1,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Q0YRYU9,Alireza,6925,2,#9CCJ2R02,Nova I Aryayi,16000010,Goblin Giant,9,9,Sparky,6,6,Electro Wizard,6,6,Mega Minion,12,12,Heal Spirit,12,12,Zap,14,14,Rage,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153142.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P98CPPG99,Carrlloss,6967,0,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VRQCYC,Jasper❤️Mikasa,6848,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T152355.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#P98CPPG99,Carrlloss,6967,0,#8VUVGPVC,vikings br,16000027,Ram Rider,3,6,Archer Queen,1,4,Giant Snowball,11,14,Lightning,6,9,Bandit,3,6,Mega Knight,3,6,Royal Ghost,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGP8Q89Y2,Lukers,5188,1,#QR890Q8R,los pibes mode,16000033,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Electro Spirit,11,14,Giant Snowball,11,14,Lightning,6,9,Royal Ghost,3,6,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
