type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T072834.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9CR8JPR8,始まりの勇者,6749,1,#90U8CQCC,コキュートス戦線,16000096,Zap,14,14,Spear Goblins,14,14,Guards,9,9,Mortar,14,14,Fireball,12,12,Bats,14,14,Minion Horde,14,14,Hog Rider,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJVV2RPJ,огненный демон,6775,2,#LLL9PP98,ps 5,16000072,Flying Machine,12,12,Lava Hound,6,6,Barbarians,14,14,Goblin Cage,12,12,Electro Dragon,9,9,Mega Minion,12,12,Arrows,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T055343.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#9CR8JPR8,始まりの勇者,6749,0,#90U8CQCC,コキュートス戦線,16000096,Mirror,6,9,Goblin Barrel,6,9,Royal Hogs,9,12,Hunter,6,9,Mini P.E.K.K.A,9,12,Princess,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90J28LU0,ferra,5919,3,#YVG208VP,69ing unicorn's,16000162,Mirror,6,9,Goblin Barrel,6,9,Royal Hogs,9,12,Hunter,6,9,Mini P.E.K.K.A,9,12,Princess,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T055201.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#9CR8JPR8,始まりの勇者,6749,3,#90U8CQCC,コキュートス戦線,16000096,Mirror,6,9,Skeleton Barrel,11,14,Lava Hound,3,6,Zappies,9,12,Battle Healer,9,12,Night Witch,3,6,Guards,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YC2Y2R2C,Daniel ツ,6065,1,#QLCUL99Y,★Team ∆ Pai★,16000159,Mirror,6,9,Skeleton Barrel,11,14,Lava Hound,3,6,Zappies,9,12,Battle Healer,9,12,Night Witch,3,6,Guards,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T054853.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#9CR8JPR8,始まりの勇者,6749,3,#90U8CQCC,コキュートス戦線,16000096,Mirror,6,9,Battle Ram,9,12,Golem,6,9,Baby Dragon,6,9,Dark Prince,6,9,Ice Wizard,3,6,Skeleton Army,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89R9QVY0C,Atsuya,5606,1,#8UJ2RCG8,Tzontémoc Inc..,16000161,Mirror,6,9,Battle Ram,9,12,Golem,6,9,Baby Dragon,6,9,Dark Prince,6,9,Ice Wizard,3,6,Skeleton Army,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T054553.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#9CR8JPR8,始まりの勇者,6749,1,#90U8CQCC,コキュートス戦線,16000096,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Inferno Dragon,3,6,Elite Barbarians,11,14,Royal Ghost,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QCGJV8GP,Kinder Bueno,5791,0,#L2GQJLJR,™ McQueen,16000121,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Inferno Dragon,3,6,Elite Barbarians,11,14,Royal Ghost,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T054236.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#9CR8JPR8,始まりの勇者,6749,3,#90U8CQCC,コキュートス戦線,16000096,Mirror,6,9,Skeleton Barrel,11,14,Ram Rider,3,6,Baby Dragon,6,9,Night Witch,3,6,Royal Ghost,3,6,Skeletons,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8QQ29QU0,TK0815,5852,1,#8L8CY2VJ,REDBULL.1,16000080,Mirror,6,9,Skeleton Barrel,11,14,Ram Rider,3,6,Baby Dragon,6,9,Night Witch,3,6,Royal Ghost,3,6,Skeletons,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T035014.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9CR8JPR8,始まりの勇者,6749,1,#90U8CQCC,コキュートス戦線,16000096,Tornado,8,9,Baby Dragon,8,9,Barbarian Hut,11,12,Electro Dragon,8,9,Heal Spirit,11,12,Battle Healer,11,12,Elixir Golem,11,12,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RY92PPV2,Amiya諪尛姐,5587,3,#QURL2G,狂野西部,16000168,P.E.K.K.A,9,9,Arrows,13,14,Wizard,12,12,Hog Rider,12,12,Lightning,9,9,Battle Healer,11,12,Goblin Gang,14,14,Archers,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T034647.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9CR8JPR8,始まりの勇者,6749,1,#90U8CQCC,コキュートス戦線,16000096,Ram Rider,3,6,Mega Knight,3,6,Fisherman,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YRL8Q9J,ImagineLosing,5737,0,#Q9CYJLPY,Zaddies,16000148,Ram Rider,3,6,The Log,3,6,Tesla,11,14,Fireball,9,12,Ice Spirit,11,14,Archer Queen,1,4,Knight,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T034316.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#9CR8JPR8,始まりの勇者,6749,1,#90U8CQCC,コキュートス戦線,16000096,Ram Rider,3,6,Mega Knight,3,6,Fisherman,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJQYL0YVP,son,5492,0,#Q9LY02JR,son vn,16000108,Ram Rider,3,6,Mega Knight,3,6,Mother Witch,3,6,Skeleton Army,6,9,Baby Dragon,6,9,Archer Queen,1,4,Royal Ghost,3,6,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T034001.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#9CR8JPR8,始まりの勇者,6749,2,#90U8CQCC,コキュートス戦線,16000096,Ram Rider,3,6,Mega Knight,3,6,Fisherman,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0ULY88R,keyzer,5479,1,#888Y9YRU,Garuda claw's,16000077,Ram Rider,3,6,Goblin Cage,9,12,Skeleton Barrel,11,14,Bowler,6,9,The Log,3,6,Electro Wizard,3,6,Mini P.E.K.K.A,9,12,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T033600.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#9CR8JPR8,始まりの勇者,6749,2,#90U8CQCC,コキュートス戦線,16000096,Ram Rider,3,6,Mega Knight,3,6,Fisherman,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RU989QPV,박주혁,5647,1,#R0JQRY8,직장인밴드,16000139,Ram Rider,3,6,Goblin Cage,9,12,Barbarian Barrel,6,9,Musketeer,9,12,Arrows,11,14,Firecracker,11,14,Skeleton Army,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T033245.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#9CR8JPR8,始まりの勇者,6749,3,#90U8CQCC,コキュートス戦線,16000096,Ram Rider,3,6,Mega Knight,3,6,Fisherman,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RU892JLV,Maximus,5355,1,#2CG9GY,Lightningsharks,16000036,Ram Rider,3,6,Mega Knight,3,6,Magic Archer,3,6,Mirror,6,9,Skeleton Army,6,9,Furnace,9,12,Royal Hogs,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
