type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T185501.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#Q2C2LQY,★KING●ALI★,6766,0,#GJ8Y88J,Tehran Kings,16000151,Graveyard,3,6,Goblin Barrel,6,9,Rocket,9,12,Fireball,9,12,Miner,3,6,Freeze,6,9,Clone,6,9,Mirror,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JG9QLL2U,[ALI],5901,3,#GJ8Y88J,Tehran Kings,16000151,P.E.K.K.A,6,9,Golem,6,9,Mega Knight,3,6,Wizard,9,12,Elite Barbarians,11,14,Inferno Tower,9,12,Fire Spirit,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T185159.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#Q2C2LQY,★KING●ALI★,6766,0,#GJ8Y88J,Tehran Kings,16000151,Skeleton King,1,4,Miner,3,6,Skeleton Army,6,9,Fireball,9,12,Bats,11,14,Spear Goblins,11,14,Minion Horde,11,14,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JG9QLL2U,[ALI],5901,3,#GJ8Y88J,Tehran Kings,16000151,Fire Spirit,11,14,Dart Goblin,9,12,Bandit,3,6,Princess,3,6,Wall Breakers,6,9,Archers,11,14,Ice Spirit,11,14,Ice Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T172529.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#Q2C2LQY,★KING●ALI★,6766,0,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R229G92LG,amirali,5735,1,#GJ8Y88J,Tehran Kings,16000151,Knight,11,14,Goblin Gang,11,14,Rocket,9,12,The Log,3,6,Electro Spirit,11,14,Inferno Tower,9,12,Princess,3,6,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135300.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2C2LQY,★KING●ALI★,6736,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,9,9,Graveyard,6,6,Tornado,9,9,Mega Minion,12,12,Bowler,9,9,The Log,6,6,Freeze,9,9,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89LY9LU2Y,Matte™️,6738,0,#Y0QR0Y2U,NoA,16000009,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Skeletons,14,14,Dark Prince,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T115621.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8RGG8UUG,༒K͙ɨⱠⱠ★$₮ǟⱤ༒,6500,2,,,,Ice Golem,11,12,Hog Rider,11,12,Archer Queen,4,4,Ice Spirit,13,14,Skeletons,13,14,Cannon,13,14,Fireball,12,12,The Log,5,6,#Q2C2LQY,★KING●ALI★,,2,#GJ8Y88J,Tehran Kings,16000151,Executioner,9,9,Graveyard,6,6,Tornado,9,9,Mega Minion,12,12,Bowler,9,9,The Log,6,6,Freeze,9,9,Mini P.E.K.K.A,12,12,#2YJQRVUP,abc123,5002,0,,,,Arrows,13,14,Electro Wizard,6,6,Tesla,14,14,Inferno Dragon,6,6,Mini P.E.K.K.A,12,12,Valkyrie,12,12,Mega Knight,6,6,Poison,9,9,#80JJP9GY8,Mcguiness,,0,#P9VYGCG8,DZEN,16000024,Magic Archer,4,6,Mega Knight,6,6,Zap,13,14,Mini P.E.K.K.A,11,12,Skeleton Barrel,13,14,Hog Rider,11,12,Tesla,12,14,Wizard,12,12
casual2v2,20220104T104749.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#Q2C2LQY,★KING●ALI★,6736,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,9,9,Graveyard,6,6,Tornado,9,9,Mega Minion,12,12,Bowler,9,9,The Log,6,6,Freeze,9,9,Mini P.E.K.K.A,12,12,#82028J90L,ali.abd,,1,#GJ8Y88J,Tehran Kings,16000151,Elite Barbarians,14,14,P.E.K.K.A,9,9,Battle Ram,12,12,Zap,14,14,Fireball,12,12,Bandit,5,6,Electro Wizard,5,6,Magic Archer,4,6,#208JQQGY0,Azogo Zogo Baba,5419,3,#2VCJUPGC,MEGA LEBANON,16000035,Inferno Tower,12,12,Balloon,9,9,Witch,9,9,Rage,9,9,Valkyrie,12,12,Bats,14,14,Lightning,9,9,Furnace,12,12,#2LLCCP2V,HosseiN,,3,#99RRCGLU,рады всех видет,16000142,Valkyrie,12,12,Bandit,6,6,Tesla,14,14,Electro Dragon,9,9,Royal Giant,14,14,Electro Spirit,13,14,Dark Prince,9,9,Firecracker,14,14
clanMate,20220104T104455.000Z,,54000016,Master II,72000007,Friendly,,collection,#Q2C2LQY,★KING●ALI★,6736,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PRU0LCRC,arian,6546,2,#GJ8Y88J,Tehran Kings,16000151,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Bats,11,14,Barbarian Barrel,6,9,Archer Queen,1,4,Lightning,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T102050.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2C2LQY,★KING●ALI★,6705,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,9,9,Graveyard,6,6,Tornado,9,9,Mega Minion,12,12,Bowler,9,9,The Log,6,6,Freeze,9,9,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJP0PRVJ,⚡KiNG MoRTeZA⚡,6717,0,#YQ208GLG,IR LUXURY,16000008,Mega Knight,6,6,Inferno Dragon,6,6,Skeleton Barrel,14,14,Spear Goblins,14,14,Miner,6,6,Goblin Gang,14,14,Zap,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T000558.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#Q2C2LQY,★KING●ALI★,6705,0,#GJ8Y88J,Tehran Kings,16000151,Ram Rider,3,6,Lightning,6,9,The Log,3,6,Bowler,6,9,Mini P.E.K.K.A,9,12,Mega Minion,9,12,Tornado,6,9,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLQQJ0PJ,赤ペンシャーペンボールペン,5275,2,#2QRCJP02,ゲーム大好き組,16000054,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Lightning,6,9,Mega Knight,3,6,Giant Snowball,11,14,Royal Ghost,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T000234.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#Q2C2LQY,★KING●ALI★,6705,1,#GJ8Y88J,Tehran Kings,16000151,Ram Rider,3,6,Lightning,6,9,The Log,3,6,Bowler,6,9,Mini P.E.K.K.A,9,12,Mega Minion,9,12,Tornado,6,9,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QG2GYL20,pu pi,5287,0,,,,Ram Rider,3,6,Archer Queen,1,4,The Log,3,6,Lumberjack,3,6,Inferno Dragon,3,6,Electro Wizard,3,6,Mega Knight,3,6,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235910.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#Q2C2LQY,★KING●ALI★,6705,1,#GJ8Y88J,Tehran Kings,16000151,Ram Rider,3,6,Lightning,6,9,The Log,3,6,Bowler,6,9,Mini P.E.K.K.A,9,12,Mega Minion,9,12,Tornado,6,9,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPRU9URVP,<c2>Dethrix,5741,0,#898CLYL,anzac might,16000122,Ram Rider,3,6,Rage,6,9,Goblin Cage,9,12,Electro Wizard,3,6,Mega Knight,3,6,Skeleton Army,6,9,Zap,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235532.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#Q2C2LQY,★KING●ALI★,6705,1,#GJ8Y88J,Tehran Kings,16000151,Ram Rider,3,6,Lightning,6,9,The Log,3,6,Bowler,6,9,Mini P.E.K.K.A,9,12,Mega Minion,9,12,Tornado,6,9,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJUCL9R0G,Slime,5180,0,#9QCLCY2V,Blazed bros,16000033,Ram Rider,3,6,Battle Ram,9,12,Bats,11,14,Executioner,6,9,Electro Dragon,6,9,Balloon,6,9,Ice Wizard,3,6,Goblin Hut,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235005.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#Q2C2LQY,★KING●ALI★,6705,1,#GJ8Y88J,Tehran Kings,16000151,Ram Rider,3,6,Graveyard,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Arrows,11,14,Bomber,11,14,Tornado,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8JRQLP,MINATO™,5713,3,#292VGCG,SixAvengerS BR,16000058,Ram Rider,3,6,Barbarian Barrel,6,9,Electro Wizard,3,6,Magic Archer,3,6,P.E.K.K.A,6,9,Poison,6,9,Royal Ghost,3,6,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T202738.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,11,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUVVR2V8V,Syna℘bϟ™,10,0,#GJ8Y88J,Tehran Kings,16000151,Sparky,3,6,Goblin Giant,6,9,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Rage,6,9,Zap,11,14,Mega Minion,9,12,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T202347.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,10,3,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJY9809VL,Mega Knight,6,1,#LLYV9U28,PSG SKILLS,16000039,Sparky,3,6,Goblin Giant,6,9,Mega Minion,9,12,Lightning,6,9,Mother Witch,3,6,Dark Prince,6,9,Goblin Cage,8,12,Giant Snowball,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T202106.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,9,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJY9809VL,Mega Knight,6,0,#LLYV9U28,PSG SKILLS,16000039,Sparky,3,6,Goblin Giant,6,9,Mega Minion,9,12,Lightning,6,9,Mother Witch,3,6,Dark Prince,6,9,Goblin Cage,8,12,Giant Snowball,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T201722.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,9,0,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUVVR2V8V,Syna℘bϟ™,9,1,#GJ8Y88J,Tehran Kings,16000151,Sparky,3,6,Goblin Giant,6,9,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Rage,6,9,Zap,11,14,Mega Minion,9,12,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T201407.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,8,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G8UC8CY,majid,3,0,#GJ8Y88J,Tehran Kings,16000151,Golem,6,9,Night Witch,3,6,Dark Prince,6,9,Baby Dragon,6,9,Tornado,6,9,Electro Dragon,6,9,Bomber,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T200912.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,8,0,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQ8C0P,Ehsan_turk,4,1,#GJ8Y88J,Tehran Kings,16000151,Inferno Dragon,3,6,Archer Queen,1,4,Freeze,6,9,Graveyard,3,6,Valkyrie,9,12,Bowler,6,9,Tornado,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T200529.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,7,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0G9QGVR,AmiakK,5,0,#GJ8Y88J,Tehran Kings,16000151,Baby Dragon,6,9,Tornado,6,9,Barbarian Hut,9,12,Electro Dragon,6,9,Elixir Golem,9,12,Battle Healer,9,12,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T200214.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,6,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0G9QGVR,AmiakK,5,0,#GJ8Y88J,Tehran Kings,16000151,Baby Dragon,6,9,Tornado,6,9,Barbarian Hut,9,12,Electro Dragon,6,9,Elixir Golem,9,12,Battle Healer,9,12,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220103T195840.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#Q2C2LQY,★KING●ALI★,5,1,#GJ8Y88J,Tehran Kings,16000151,Executioner,6,9,Graveyard,3,6,Tornado,6,9,Mega Minion,9,12,Bowler,6,9,The Log,3,6,Freeze,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUVVR2V8V,Syna℘bϟ™,6,0,#GJ8Y88J,Tehran Kings,16000151,Sparky,3,6,Goblin Giant,6,9,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Rage,6,9,Zap,11,14,Mega Minion,9,12,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
